IDX	LABEL	PC	UI	CLKTA CS0 CS1 CA WCKT	RDQST	DMI0	DMI1	DATA_e	DATA_o 
000009          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
