DO	FU	HB	CB	NB	DU	SG	HTEMP	tPD	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	cycle	run	wf	x	y	mask	line	part	lot	step	test_model	tester	test	V209	V210	V211	V212	V213	V214	V215	V216	V217	V218	V219	V220	V221	V222	V223
4	R	6	N	0	76	x08A475C008404199	74:00:00	57.92	0.816	0.95	0.96	0.613	0.63	0.637	0.99	1.116	1.121	0.681	0.705	0.713	1.109	1.242	1.247	NRT	0	0	857	857	857	857	0	0	33	PCI021	14	29	41	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	2	G	0	77	x08B4BE0020404199	79:00:00	57.65	0.804	0.931	0.931	0.602	0.625	0.63	0.975	1.101	1.106	0.669	0.699	0.704	1.094	1.219	1.229	NRT	0	0	857	857	857	857	926	0	33	PCI024	16	47	45	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	R	2	G	0	77	x08CCD1C008404199	81:00:00	57.02	0.81	0.952	0.947	0.603	0.623	0.638	0.98	1.111	1.106	0.67	0.696	0.711	1.097	1.239	1.234	NRT	0	0	857	857	857	857	0	0	33	PCI021	14	52	51	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	R	2	G	0	77	x08C0BE0020404199	80:00:00	54.89	0.789	0.927	0.911	0.595	0.623	0.62	0.963	1.106	1.081	0.66	0.696	0.694	1.077	1.234	1.199	NRT	0	0	857	857	857	857	0	0	33	PCI024	16	47	48	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	2	G	0	77	x08D8CDC008404199	80:00:00	59.58	0.817	0.937	0.946	0.605	0.633	0.628	0.981	1.116	1.111	0.673	0.706	0.701	1.1	1.244	1.239	NRT	0	0	857	857	857	857	0	0	33	PCI021	14	51	54	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	6	N	0	78	x08D84DC020404199	74:00:00	56.07	0.803	0.922	0.931	0.598	0.625	0.615	0.963	1.091	1.091	0.664	0.699	0.691	1.081	1.214	1.209	NRT	0	0	857	857	857	857	0	0	33	PCI024	14	19	54	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	R	6	N	0	78	x08D075C008404199	76:00:00	57.54	0.814	0.942	0.95	0.609	0.63	0.643	0.989	1.116	1.111	0.675	0.701	0.711	1.106	1.249	1.249	NRT	0	0	857	857	857	857	0	0	33	PCI021	14	29	52	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	R	6	N	0	78	x08D04DC020404199	73:00:00	55.66	0.798	0.942	0.931	0.594	0.618	0.62	0.961	1.091	1.071	0.659	0.691	0.696	1.077	1.224	1.194	NRT	0	0	857	857	857	857	0	0	33	PCI024	14	19	52	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	6	N	894	78	x08CC6DC008404199	76:00:00	57.8	0.823	0.956	0.956	0.616	0.638	0.64	1.003	1.131	1.131	0.684	0.711	0.714	1.123	1.254	1.259	NRT	894	0	857	857	857	857	0	0	33	PCI021	14	27	51	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	2	G	0	79	x0894C0C020404199	71:00:00	55.74	0.801	0.93	0.929	0.598	0.622	0.617	0.964	1.081	1.086	0.664	0.693	0.688	1.081	1.207	1.202	NRT	0	0	857	857	857	857	0	0	33	PCI024	6	48	37	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	R	2	G	0	79	x0894B14008404199	76:00:00	57.71	0.81	0.962	0.955	0.606	0.63	0.635	0.98	1.121	1.106	0.674	0.703	0.708	1.099	1.247	1.242	NRT	0	0	857	857	857	857	0	0	33	PCI021	10	44	37	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	R	2	G	0	79	x0898C8C020404199	71:00:00	58.12	0.805	0.932	0.92	0.598	0.625	0.617	0.967	1.101	1.081	0.665	0.7	0.69	1.087	1.232	1.207	NRT	0	0	857	857	857	857	0	0	33	PCI024	6	50	38	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	2	G	0	79	x0898BD4008404199	75:00:00	58.51	0.82	0.95	0.954	0.612	0.64	0.64	0.995	1.126	1.126	0.681	0.72	0.713	1.117	1.262	1.262	NRT	0	0	857	857	857	857	0	0	33	PCI021	10	47	38	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	2	G	0	80	x08E0B0C020404199	74:00:00	55.96	0.785	0.915	0.915	0.59	0.615	0.607	0.958	1.081	1.086	0.655	0.688	0.683	1.074	1.202	1.202	NRT	0	0	857	857	857	857	0	0	33	PCI024	6	44	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	R	2	G	0	80	x08D8894008404199	70:00:00	58.01	0.806	0.94	0.934	0.605	0.63	0.642	0.984	1.116	1.111	0.671	0.705	0.713	1.1	1.247	1.242	NRT	0	0	857	857	857	857	0	0	33	PCI021	10	34	54	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	R	2	G	0	80	x08E4A0C020404199	73:00:00	55.5	0.772	0.927	0.905	0.584	0.607	0.607	0.941	1.081	1.066	0.647	0.678	0.678	1.052	1.202	1.182	NRT	0	0	857	857	857	857	0	0	33	PCI024	6	40	57	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	2	G	0	80	x08CC794008404199	72:00:00	57.77	0.819	0.957	0.955	0.616	0.64	0.635	1.001	1.126	1.121	0.683	0.71	0.71	1.122	1.252	1.252	NRT	0	0	857	857	857	857	0	0	33	PCI021	10	30	51	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	6	N	0	81	x08987E0020404199	75:00:00	55.72	0.815	0.948	0.951	0.608	0.624	0.631	0.984	1.109	1.114	0.676	0.701	0.701	1.105	1.238	1.243	NRT	0	0	857	0	0	0	0	0	33	PCI024	16	31	38	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
