DO	HB	HTEMP	tPD_F	tPD	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	run	wf	x	y	lot	test
2	2	127	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	22	72	EUO2949JO2	0
1	6	125	65.46	62.46	4146	4224	3001	3001	3002	3002	3003	3003	3004	3004	3007	3007	3009	3009	3010	3010	3012	3012	3021	3021	EUO294	23	20	59	EUO2949JO2	0
2	6	124	66.33	62.08	851	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	20	57	EUO2949JO2	0
1	2	126	62.46	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	17	84	EUO2949JO2	0
2	2	125	62.46	59.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	17	85	EUO2949JO2	0
1	2	125	61.96	61.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	19	46	EUO2949JO2	0
2	2	126	61.58	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	19	48	EUO2949JO2	0
1	6	127	62.83	61.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	33	87	EUO2949JO2	0
2	6	126	65.83	62.83	4001	4001	4002	4002	4003	4003	4004	4004	4005	4005	4006	4006	4007	4007	4009	4009	4010	4010	4011	4011	EUO294	16	33	89	EUO2949JO2	0
1	2	124	58.96	57.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	10	73	EUO2949JO2	0
2	2	124	58.96	58.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	10	71	EUO2949JO2	0
1	2	125	60.71	58.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	22	105	EUO2949JO2	0
2	2	125	61.58	58.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	22	102	EUO2949JO2	0
1	6	124	63.33	63.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	24	55	76	EUO2949JO2	0
2	6	125	63.33	62.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	24	55	78	EUO2949JO2	0
1	2	125	67.58	64.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	24	57	95	EUO2949JO2	0
2	2	125	69.83	66.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	24	57	98	EUO2949JO2	0
1	2	123	61.08	60.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	28	71	EUO2949JO2	0
2	2	124	62.83	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	28	69	EUO2949JO2	0
1	2	124	63.71	61.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	52	80	EUO2949JO2	0
2	2	127	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	52	78	EUO2949JO2	0
1	2	123	60.71	61.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	13	72	EUO2949JO2	0
2	2	125	61.58	59.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	13	74	EUO2949JO2	0
1	2	124	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	25	82	EUO2949JO2	0
2	2	125	62.46	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	25	84	EUO2949JO2	0
1	6	124	59.33	58.46	26	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	11	56	EUO2949JO2	0
2	6	122	61.96	58.08	26	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	11	58	EUO2949JO2	0
1	2	125	62.83	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	23	68	EUO2949JO2	0
2	2	123	62.46	63.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	23	70	EUO2949JO2	0
1	2	124	62.83	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	15	57	EUO2949JO2	0
2	2	125	61.58	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	15	59	EUO2949JO2	0
1	2	123	61.96	58.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	53	100	EUO2949JO2	0
2	2	125	59.83	60.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	53	102	EUO2949JO2	0
1	2	125	59.83	58.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	28	34	EUO2949JO2	0
2	2	124	60.71	58.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	28	32	EUO2949JO2	0
1	2	125	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	17	73	EUO2949JO2	0
2	2	124	64.21	62.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	17	75	EUO2949JO2	0
1	6	125	61.58	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	21	84	EUO2949JO2	0
2	6	125	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	21	86	EUO2949JO2	0
1	2	124	65.46	62.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	24	56	EUO2949JO2	0
2	2	124	66.33	63.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	24	54	EUO2949JO2	0
1	2	123	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	46	81	EUO2949JO2	0
2	2	122	62.46	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	46	79	EUO2949JO2	0
1	2	125	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	23	76	EUO2949JO2	0
2	2	123	63.33	60.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	23	78	EUO2949JO2	0
1	2	122	58.08	56.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	10	60	EUO2949JO2	0
2	2	124	59.83	60.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	10	58	EUO2949JO2	0
1	2	125	62.83	61.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	46	110	EUO2949JO2	0
2	2	125	61.58	61.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	46	107	EUO2949JO2	0
1	2	123	62.46	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	28	94	EUO2949JO2	0
2	2	122	62.46	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	28	92	EUO2949JO2	0
1	6	126	63.33	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	53	58	EUO2949JO2	0
2	6	123	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	53	60	EUO2949JO2	0
1	2	122	62.83	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	22	96	EUO2949JO2	0
2	2	123	62.46	59.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	22	94	EUO2949JO2	0
1	6	122	61.58	61.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	26	87	EUO2949JO2	0
2	6	122	62.46	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	26	85	EUO2949JO2	0
1	2	123	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	46	73	EUO2949JO2	0
2	2	122	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	46	71	EUO2949JO2	0
1	2	122	61.58	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	22	99	EUO2949JO2	0
2	2	122	62.46	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	22	97	EUO2949JO2	0
1	6	123	61.08	58.08	26	60	70	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	11	85	EUO2949JO2	0
2	6	123	58.96	58.08	26	60	70	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	11	87	EUO2949JO2	0
1	2	125	62.46	62.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	56	90	EUO2949JO2	0
2	2	123	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	56	88	EUO2949JO2	0
1	2	123	61.58	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	28	78	EUO2949JO2	0
2	2	124	59.46	58.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	28	76	EUO2949JO2	0
