DO	HB	NB	V43	run	wf	x	y	test
2	2	0	3190	PCI033	4	35	40	0
4	2	0	4122	PCI033	7	46	45	0
1	2	0	3190	PCI033	4	25	41	0
3	2	0	3190	PCI033	7	46	55	0
2	2	0	3190	PCI033	4	27	40	0
4	2	0	3190	PCI033	7	43	57	0
1	6	0	3190	PCI033	4	36	59	0
3	6	0	4122	PCI033	7	26	41	0
2	6	0	4122	PCI033	4	34	59	0
4	6	1406	3190	PCI033	7	31	39	0
1	2	0	3190	PCI033	4	25	50	0
3	2	0	4122	PCI033	7	43	48	0
2	2	0	3190	PCI033	4	25	48	0
4	2	0	4122	PCI033	7	43	49	0
1	6	1845	4122	PCI033	4	38	50	0
3	6	0	4122	PCI033	7	40	48	0
2	6	0	4122	PCI033	4	37	51	0
4	6	0	4122	PCI033	7	36	51	0
1	2	0	3190	PCI033	4	21	44	0
3	2	0	4122	PCI033	7	45	57	0
2	2	0	3190	PCI033	4	22	42	0
4	2	0	4122	PCI033	7	42	58	0
1	6	0	3190	PCI033	4	32	36	0
3	6	0	3190	PCI033	7	24	58	0
2	6	0	3190	PCI033	4	34	36	0
4	6	770	3190	PCI033	7	22	57	0
1	6	0	4122	PCI033	4	49	43	0
3	6	0	3190	PCI033	7	21	46	0
2	6	0	4122	PCI033	4	50	45	0
4	6	1322	3190	PCI033	7	21	43	0
1	2	0	4122	PCI033	4	50	51	0
3	2	0	3190	PCI033	7	29	38	0
2	2	0	4122	PCI033	4	49	54	0
4	2	0	3190	PCI033	7	30	38	0
1	2	0	3190	PCI033	4	34	60	0
3	2	0	4122	PCI033	7	40	39	0
2	2	0	4122	PCI033	4	32	59	0
4	2	0	4122	PCI033	7	43	39	0
1	6	0	3190	PCI033	4	36	34	0
3	6	0	3190	PCI033	7	30	62	0
2	6	2398	4122	PCI033	4	38	34	0
4	6	0	3190	PCI033	7	27	61	0
1	2	0	4122	PCI033	4	48	58	0
3	2	0	4122	PCI033	7	30	35	0
2	2	0	4122	PCI033	4	46	58	0
4	2	0	4122	PCI033	7	32	35	0
1	6	0	4122	PCI033	4	36	44	0
3	6	1322	3190	PCI033	7	28	49	0
2	6	1781	3190	PCI033	4	37	44	0
4	6	0	3190	PCI033	7	28	48	0
1	2	0	3190	PCI033	4	36	36	0
3	2	0	3190	PCI033	7	21	56	0
2	2	0	3190	PCI033	4	38	36	0
4	2	0	3190	PCI033	7	20	54	0
1	2	0	3190	PCI033	4	45	42	0
3	2	0	3190	PCI033	7	46	52	0
2	2	0	4122	PCI033	4	46	43	0
4	2	0	3190	PCI033	7	44	54	0
1	2	0	3190	PCI033	4	46	53	0
3	2	0	3190	PCI033	7	23	43	0
2	2	0	4122	PCI033	4	44	53	0
4	2	0	3190	PCI033	7	26	42	0
1	2	0	3190	PCI033	4	40	41	0
3	2	0	4122	PCI033	7	46	48	0
2	2	0	4122	PCI033	4	41	41	0
4	2	0	3190	PCI033	7	46	50	0
1	2	0	3190	PCI033	4	47	44	0
3	2	0	4122	PCI033	7	23	54	0
2	2	0	4122	PCI033	4	48	47	0
4	2	0	3190	PCI033	7	22	50	0
1	2	0	3190	PCI033	4	28	57	0
3	2	0	4122	PCI033	7	40	40	0
2	2	0	4122	PCI033	4	26	56	0
4	2	0	3190	PCI033	7	42	40	0
1	2	0	3190	PCI033	4	38	53	0
3	2	0	3190	PCI033	7	36	44	0
2	2	0	3190	PCI033	4	33	54	0
4	2	0	3190	PCI033	7	37	44	0
1	6	1406	3190	PCI033	4	43	36	0
3	6	0	4122	PCI033	7	29	60	0
2	6	0	3190	PCI033	4	45	37	0
4	6	0	4122	PCI033	7	27	60	0
1	6	2669	3190	PCI033	4	34	41	0
3	6	0	4122	PCI033	7	30	54	0
2	6	0	3190	PCI033	4	38	41	0
4	6	0	3190	PCI033	7	28	53	0
1	6	0	3190	PCI033	5	29	51	0
3	6	0	3190	PCI016	7	29	45	0
2	6	2398	3190	PCI033	5	27	50	0
4	6	0	3190	PCI016	7	30	45	0
1	2	0	3190	PCI033	4	30	59	0
3	2	0	3190	PCI033	7	45	40	0
2	2	0	4122	PCI033	4	28	58	0
4	2	0	3190	PCI033	7	47	41	0
1	2	0	4122	PCI033	4	47	55	0
3	2	0	3190	PCI033	7	34	38	0
2	2	0	3190	PCI033	4	45	55	0
4	2	0	4122	PCI033	7	38	38	0
1	6	0	4122	PCI033	4	25	39	0
3	6	0	3190	PCI033	7	37	61	0
2	6	0	4122	PCI033	4	28	38	0
4	6	770	3190	PCI033	7	35	61	0
1	2	0	3190	PCI033	4	17	50	0
3	2	0	3190	PCI033	7	49	58	0
2	2	0	3190	PCI033	4	18	46	0
4	2	0	4122	PCI033	7	47	59	0
1	2	0	3190	PCI033	4	46	57	0
